商圈分组,品类,总SKU数,最小SKU,最大SKU,当前范围,推荐范围
市场区,冷冻食品,53,1,32,0-32,0-25
文教区,熟食&饮品,87,1,63,0-63,0-30
文教区,冲调品,71,2,66,0-58,0-43
住宅区,宠物产品,21,1,21,0-21,0-11
住宅区,水,54,2,51,0-50,0-47
文教区,冷藏品,76,1,73,0-73,0-71
住宅区,冲调品,71,1,66,0-64,0-42
住宅区,方便食品,171,7,165,0-165,0-159
旅游区,保鲜鲜食,18,6,14,6-12,2-6
旅游区,熟食&饮品,41,41,41,41-41,19-19
科教区,休闲素食,88,35,81,35-81,18-59
交通枢纽,香烟,709,1,286,0-269,0-239
交通枢纽,口腔护理,76,1,46,0-44,0-31
其他,啤酒／预调酒,122,1,96,0-96,0-88
商业区,常温乳制品,92,4,88,0-87,0-82
科教区,坚果炒货,91,43,84,41-82,10-56
娱乐区,膨化食品,89,10,86,0-86,0-84
商业区,卫生用品,83,3,79,0-79,0-74
娱乐区,坚果炒货,91,15,86,0-84,0-68
办公区,果干蜜饯,92,3,84,0-83,0-57
市场区,槟榔,34,7,34,0-34,0-33
其他,个人护理,201,2,141,0-141,0-69
医院区,餐厨用品,53,1,38,0-35,0-25
科教区,其它饮品,32,9,30,9-29,7-25
办公区,口腔护理,78,1,64,0-62,0-52
娱乐区,功能饮料,112,18,95,0-90,0-81
办公区,碳酸饮料,103,24,78,0-75,0-74
交通枢纽,个人护理,187,1,96,0-91,0-48
医院区,文具用品,112,1,77,0-76,0-44
医院区,计生情趣,62,1,56,0-53,0-35
旅游区,其它饮品,24,6,19,6-19,6-14
其他,雪糕,127,2,98,0-98,0-76
工业区,啤酒／预调酒,122,1,102,0-99,0-93
娱乐区,保鲜鲜食,35,1,27,0-26,0-11
娱乐区,果干蜜饯,92,2,68,0-67,0-45
办公区,坚果炒货,91,11,86,0-84,0-75
工业区,香烟,1009,2,327,0-315,0-285
文教区,计生情趣,62,1,51,0-50,0-33
其他,文具用品,111,1,78,0-72,0-39
文教区,果汁,62,1,57,0-56,0-53
娱乐区,方便食品,170,3,149,0-138,0-125
其他,饼干,159,8,136,0-136,0-91
医院区,糖果&巧克力,277,26,210,0-201,0-160
住宅区,饼干,161,2,148,0-147,0-130
办公区,冲调品,71,1,62,0-55,0-31
工业区,果干蜜饯,92,1,86,0-84,0-62
文教区,糖果&巧克力,280,41,242,0-236,0-180
办公区,粮油,103,1,76,0-74,0-61
市场区,生鲜&水果,4,1,4,0-4,0-4
市场区,休闲肉脯,121,8,101,0-100,0-77
市场区,数码电器,48,1,40,0-37,0-25
交通枢纽,糖果&巧克力,281,15,190,0-178,0-148
办公区,玩具,63,1,38,0-31,0-23
商业区,保鲜鲜食,35,1,32,0-25,0-19
其他,定量小包装,265,8,231,0-231,0-218
